iso3,country_name,continent,lat,lng
AFG,Afghanistan,Asia,33.0,65.0
AGO,Angola,Africa,-12.5,18.5
ALB,Albania,Europe,41.0,20.0
AND,Andorra,Europe,42.5,1.5
ARE,United Arab Emirates,Asia,24.0,54.0
ARG,Argentina,South America,-34.0,-64.0
ARM,Armenia,Asia,40.0,45.0
ATG,Antigua and Barbuda,North America,17.05,-61.8
AUS,Australia,Oceania,-27.0,133.0
AUT,Austria,Europe,47.33333333,13.33333333
AZE,Azerbaijan,Asia,40.5,47.5
BDI,Burundi,Africa,-3.5,30.0
BEL,Belgium,Europe,50.83333333,4.0
BEN,Benin,Africa,9.5,2.25
BFA,Burkina Faso,Africa,13.0,-2.0
BGD,Bangladesh,Asia,24.0,90.0
BGR,Bulgaria,Europe,43.0,25.0
BHR,Bahrain,Asia,26.0,50.55
BHS,The Bahamas,North America,24.25,-76.0
BIH,Bosnia and Herzegovina,Europe,44.0,18.0
BLR,Belarus,Europe,53.0,28.0
BLZ,Belize,North America,17.25,-88.75
BOL,Bolivia,South America,-17.0,-65.0
BRA,Brazil,South America,-10.0,-55.0
BRB,Barbados,North America,13.16666666,-59.53333333
BRN,Brunei,Asia,4.690250542520776,114.9151087739441
BWA,Botswana,Africa,-22.0,24.0
CAF,Central African Republic,Africa,7.0,21.0
CAN,Canada,North America,60.0,-95.0
CHE,Switzerland,Europe,47.0,8.0
CHL,Chile,South America,-30.0,-71.0
CHN,China,Asia,35.0,105.0
CIV,Ivory Coast,Africa,8.0,-5.0
CMR,Cameroon,Africa,6.0,12.0
COD,Democratic Republic of the Congo,Africa,0.0,25.0
COG,Republic of the Congo,Africa,-1.0,15.0
COK,Cook Islands,Oceania,-21.23333333,-159.76666666
COL,Colombia,South America,4.0,-72.0
COM,Comoros,Africa,-12.16666666,44.25
CPV,Cape Verde,Africa,16.0,-24.0
CRI,Costa Rica,North America,10.0,-84.0
CUB,Cuba,North America,21.5,-80.0
CYP,Cyprus,Europe,35.0,33.0
CZE,Czech Republic,Europe,49.75,15.5
DEU,Germany,Europe,51.0,9.0
DJI,Djibouti,Africa,11.5,43.0
DMA,Dominica,North America,15.41666666,-61.33333333
DNK,Denmark,Europe,56.0,10.0
DOM,Dominican Republic,North America,19.0,-70.66666666
DZA,Algeria,Africa,28.0,3.0
ECU,Ecuador,South America,-2.0,-77.5
EGY,Egypt,Africa,27.0,30.0
ERI,Eritrea,Africa,15.0,39.0
ESP,Spain,Europe,40.0,-4.0
EST,Estonia,Europe,59.0,26.0
ETH,Ethiopia,Africa,8.0,38.0
FIN,Finland,Europe,64.0,26.0
FJI,Fiji,Oceania,-18.0,175.0
FRA,France,Europe,46.0,2.0
FSM,Federated States of Micronesia,Oceania,6.91666666,158.25
GAB,Gabon,Africa,-1.0,11.75
GBR,United Kingdom,Europe,54.0,-2.0
GEO,Georgia,Asia,42.0,43.5
GHA,Ghana,Africa,8.0,-2.0
GIN,Guinea,Africa,11.0,-10.0
GMB,The Gambia,Africa,13.46666666,-16.56666666
GNB,Guinea-Bissau,Africa,12.0,-15.0
GNQ,Equatorial Guinea,Africa,2.0,10.0
GRC,Greece,Europe,39.0,22.0
GRD,Grenada,North America,12.11666666,-61.66666666
GTM,Guatemala,North America,15.5,-90.25
GUY,Guyana,South America,5.0,-59.0
HKG,Hong Kong,Asia,22.3193,114.1694
HND,Honduras,North America,15.0,-86.5
HRV,Croatia,Europe,45.16666666,15.5
HTI,Haiti,North America,19.0,-72.41666666
HUN,Hungary,Europe,47.0,20.0
IDN,Indonesia,Asia,-5.0,120.0
IND,India,Asia,20.0,77.0
IRL,Ireland,Europe,53.0,-8.0
IRN,Iran,Asia,32.0,53.0
IRQ,Iraq,Asia,33.0,44.0
ISL,Iceland,Europe,65.0,-18.0
ISR,Israel,Asia,31.5,34.75
ITA,Italy,Europe,42.83333333,12.83333333
JAM,Jamaica,North America,18.25,-77.5
JOR,Jordan,Asia,31.0,36.0
JPN,Japan,Asia,36.0,138.0
KAZ,Kazakhstan,Asia,48.0,68.0
KEN,Kenya,Africa,1.0,38.0
KGZ,Kyrgyzstan,Asia,41.0,75.0
KHM,Cambodia,Asia,13.0,105.0
KIR,Kiribati,Oceania,1.41666666,173.0
KNA,Saint Kitts and Nevis,North America,17.33333333,-62.75
KOR,South Korea,Asia,37.0,127.5
KWT,Kuwait,Asia,29.5,45.75
LAO,Laos,Asia,18.0,105.0
LBN,Lebanon,Asia,33.83333333,35.83333333
LBR,Liberia,Africa,6.5,-9.5
LBY,Libya,Africa,25.0,17.0
LCA,Saint Lucia,North America,13.88333333,-60.96666666
LIE,Liechtenstein,Europe,47.26666666,9.53333333
LKA,Sri Lanka,Asia,7.0,81.0
LSO,Lesotho,Africa,-29.5,28.5
LTU,Lithuania,Europe,56.0,24.0
LUX,Luxembourg,Europe,49.75,6.16666666
LVA,Latvia,Europe,57.0,25.0
MAC,Macao,Asia,22.1987,113.5439
MAR,Morocco,Africa,32.0,-5.0
MDA,Moldova,Europe,47.0,29.0
MDG,Madagascar,Africa,-20.0,47.0
MDV,Maldives,Asia,3.25,73.0
MEX,Mexico,North America,23.0,-102.0
MHL,Marshall Islands,Oceania,9.0,168.0
MKD,Macedonia,Europe,41.605929647139774,21.697903375280752
MLI,Mali,Africa,17.0,-4.0
MLT,Malta,Europe,35.83333333,14.58333333
MMR,Myanmar,Asia,21.01699987377382,96.50584094206152
MNE,Montenegro,Europe,42.78903960655947,19.28618172159304
MNG,Mongolia,Asia,46.0,105.0
MOZ,Mozambique,Africa,-18.25,35.0
MRT,Mauritania,Africa,20.0,-12.0
MUS,Mauritius,Africa,-20.28333333,57.55
MWI,Malawi,Africa,-13.5,34.0
MYS,Malaysia,Asia,2.5,112.5
NAM,Namibia,Africa,-22.0,17.0
NER,Niger,Africa,16.0,8.0
NGA,Nigeria,Africa,10.0,8.0
NIC,Nicaragua,North America,13.0,-85.0
NIU,Niue,Oceania,-19.03333333,-169.86666666
NLD,Netherlands,Europe,52.5,5.75
NOR,Norway,Europe,62.0,10.0
NPL,Nepal,Asia,28.0,84.0
NRU,Nauru,Oceania,-0.53333333,166.91666666
NZL,New Zealand,Oceania,-41.0,174.0
OMN,Oman,Asia,21.0,57.0
PAK,Pakistan,Asia,30.0,70.0
PAN,Panama,North America,9.0,-80.0
PER,Peru,South America,-10.0,-76.0
PHL,Philippines,Asia,13.0,122.0
PLW,Palau,Oceania,7.5,134.5
PNG,Papua New Guinea,Oceania,-6.0,147.0
POL,Poland,Europe,52.0,20.0
PRK,North Korea,Asia,40.0,127.0
PRT,Portugal,Europe,39.5,-8.0
PRY,Paraguay,South America,-23.0,-58.0
PSE,Palestine,Asia,31.941136622412806,35.27331962288767
QAT,Qatar,Asia,25.5,51.25
ROU,Romania,Europe,46.0,25.0
RUS,Russia,Europe,60.0,100.0
RWA,Rwanda,Africa,-2.0,30.0
SAU,Saudi Arabia,Asia,25.0,45.0
SDN,Sudan,Africa,15.0,30.0
SEN,Senegal,Africa,14.0,-14.0
SGP,Singapore,Asia,1.36666666,103.8
SLB,Solomon Islands,Oceania,-8.0,159.0
SLE,Sierra Leone,Africa,8.5,-11.5
SLV,El Salvador,North America,13.83333333,-88.91666666
SMR,San Marino,Europe,43.76666666,12.41666666
SOM,Somalia,Africa,10.0,49.0
SRB,Serbia,Europe,44.1305021,16.4284181
SSD,South Sudan,Africa,7.0,30.0
STP,São Tomé and Príncipe,Africa,1.0,7.0
SUR,Suriname,South America,4.0,-56.0
SVK,Slovakia,Europe,48.66666666,19.5
SVN,Slovenia,Europe,46.11666666,14.81666666
SWE,Sweden,Europe,62.0,15.0
SWZ,eSwatini,Africa,-26.489855288519863,31.395255902065244
SYC,Seychelles,Africa,-4.58333333,55.66666666
SYR,Syria,Asia,35.0,38.0
TCD,Chad,Africa,15.0,19.0
TGO,Togo,Africa,8.0,1.16666666
THA,Thailand,Asia,15.0,100.0
TJK,Tajikistan,Asia,39.0,71.0
TKM,Turkmenistan,Asia,40.0,60.0
TLS,East Timor,Asia,-8.83333333,125.91666666
TON,Tonga,Oceania,-20.0,-175.0
TTO,Trinidad and Tobago,North America,11.0,-61.0
TUN,Tunisia,Africa,34.0,9.0
TUR,Turkey,Asia,39.0,35.0
TUV,Tuvalu,Oceania,-8.0,178.0
TWN,Taiwan,Asia,23.6978,120.9605
TZA,Tanzania,Africa,-6.0,35.0
UGA,Uganda,Africa,1.0,32.0
UKR,Ukraine,Europe,49.0,32.0
URY,Uruguay,South America,-33.0,-56.0
USA,United States,North America,38.0,-97.0
UZB,Uzbekistan,Asia,41.0,64.0
VCT,Saint Vincent and the Grenadines,North America,13.25,-61.2
VEN,Venezuela,South America,8.0,-66.0
VNM,Vietnam,Asia,16.65793775325511,106.28584079705311
VUT,Vanuatu,Oceania,-16.0,167.0
WSM,Samoa,Oceania,-13.58333333,-172.33333333
YEM,Yemen,Asia,15.0,48.0
ZAF,South Africa,Africa,-29.0,24.0
ZMB,Zambia,Africa,-15.0,30.0
ZWE,Zimbabwe,Africa,-20.0,30.0
